timestamp,proceso,error_level,error_message,mensaje,log_category,run_name
2026-09-04 04:50:53.930,spid26s,,"[32767]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0","[32767]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0",INFO,carga1
2026-09-04 04:50:53.930,spid26s,,Starting up database 'mssqlsystemresource'.,Starting up database 'mssqlsystemresource'.,STARTUP,carga1
2026-09-04 04:50:53.950,spid26s,,The resource database build version is 16.00.4265. This is an informational message only. No user action is required.,The resource database build version is 16.00.4265. This is an informational message only. No user action is required.,INFO,carga1
2026-09-04 04:50:53.980,Server,,Common language runtime (CLR) functionality initialized.,Common language runtime (CLR) functionality initialized.,INFO,carga1
2026-09-04 04:50:54.000,spid26s,,"[3]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0","[3]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0",INFO,carga1
2026-09-04 04:50:54.010,spid26s,,Starting up database 'model'.,Starting up database 'model'.,STARTUP,carga1
2026-09-04 04:50:54.220,spid24s,,Converting database 'model_replicatedmaster' from version 927 to the current version 957.,Converting database 'model_replicatedmaster' from version 927 to the current version 957.,INFO,carga1
2026-09-04 04:50:54.220,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 927 to version 928.,Database 'model_replicatedmaster' running the upgrade step from version 927 to version 928.,INFO,carga1
2026-09-04 04:50:54.240,Server,,External governance manager initialized,External governance manager initialized,INFO,carga1
2026-09-04 04:50:54.470,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 928 to version 929.,Database 'model_replicatedmaster' running the upgrade step from version 928 to version 929.,INFO,carga1
2026-09-04 04:50:54.570,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 929 to version 930.,Database 'model_replicatedmaster' running the upgrade step from version 929 to version 930.,INFO,carga1
2026-09-04 04:50:54.600,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 930 to version 931.,Database 'model_replicatedmaster' running the upgrade step from version 930 to version 931.,INFO,carga1
2026-09-04 04:50:54.630,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 931 to version 932.,Database 'model_replicatedmaster' running the upgrade step from version 931 to version 932.,INFO,carga1
2026-09-04 04:50:54.660,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 932 to version 933.,Database 'model_replicatedmaster' running the upgrade step from version 932 to version 933.,INFO,carga1
2026-09-04 04:50:54.680,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 933 to version 934.,Database 'model_replicatedmaster' running the upgrade step from version 933 to version 934.,INFO,carga1
2026-09-04 04:50:54.710,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 934 to version 935.,Database 'model_replicatedmaster' running the upgrade step from version 934 to version 935.,INFO,carga1
2026-09-04 04:50:54.730,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 935 to version 936.,Database 'model_replicatedmaster' running the upgrade step from version 935 to version 936.,INFO,carga1
2026-09-04 04:50:54.760,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 936 to version 937.,Database 'model_replicatedmaster' running the upgrade step from version 936 to version 937.,INFO,carga1
2026-09-04 04:50:54.780,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 937 to version 938.,Database 'model_replicatedmaster' running the upgrade step from version 937 to version 938.,INFO,carga1
2026-09-04 04:50:54.810,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 938 to version 939.,Database 'model_replicatedmaster' running the upgrade step from version 938 to version 939.,INFO,carga1
2026-09-04 04:50:54.840,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 939 to version 940.,Database 'model_replicatedmaster' running the upgrade step from version 939 to version 940.,INFO,carga1
2026-09-04 04:50:54.860,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 940 to version 941.,Database 'model_replicatedmaster' running the upgrade step from version 940 to version 941.,INFO,carga1
2026-09-04 04:50:54.860,spid33s,,A self-generated certificate was successfully loaded for encryption.,A self-generated certificate was successfully loaded for encryption.,INFO,carga1
2026-09-04 04:50:54.870,spid33s,,Server is listening on [ 'any' <ipv6> 1433] accept sockets 1.,Server is listening on [ 'any' <ipv6> 1433] accept sockets 1.,INFO,carga1
2026-09-04 04:50:54.870,spid33s,,Server is listening on [ 'any' <ipv4> 1433] accept sockets 1.,Server is listening on [ 'any' <ipv4> 1433] accept sockets 1.,INFO,carga1
2026-09-04 04:50:54.880,Server,,Server is listening on [ ::1 <ipv6> 1434] accept sockets 1.,Server is listening on [ ::1 <ipv6> 1434] accept sockets 1.,INFO,carga1
2026-09-04 04:50:54.880,Server,,Server is listening on [ 127.0.0.1 <ipv4> 1434] accept sockets 1.,Server is listening on [ 127.0.0.1 <ipv4> 1434] accept sockets 1.,INFO,carga1
2026-09-04 04:50:54.880,Server,,Dedicated admin connection support was established for listening locally on port 1434.,Dedicated admin connection support was established for listening locally on port 1434.,INFO,carga1
2026-09-04 04:50:54.890,spid33s,,Server is listening on [ ::1 <ipv6> 1431] accept sockets 1.,Server is listening on [ ::1 <ipv6> 1431] accept sockets 1.,INFO,carga1
2026-09-04 04:50:54.890,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 941 to version 942.,Database 'model_replicatedmaster' running the upgrade step from version 941 to version 942.,INFO,carga1
2026-09-04 04:50:54.900,spid33s,,Server is listening on [ 127.0.0.1 <ipv4> 1431] accept sockets 1.,Server is listening on [ 127.0.0.1 <ipv4> 1431] accept sockets 1.,INFO,carga1
2026-09-04 04:50:54.900,spid33s,,SQL Server is now ready for client connections. This is an informational message; no user action is required.,SQL Server is now ready for client connections. This is an informational message; no user action is required.,STARTUP,carga1
2026-09-04 04:50:54.920,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 942 to version 943.,Database 'model_replicatedmaster' running the upgrade step from version 942 to version 943.,INFO,carga1
2026-09-04 04:50:55.030,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 943 to version 944.,Database 'model_replicatedmaster' running the upgrade step from version 943 to version 944.,INFO,carga1
2026-09-04 04:50:55.070,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 944 to version 945.,Database 'model_replicatedmaster' running the upgrade step from version 944 to version 945.,INFO,carga1
2026-09-04 04:50:55.110,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 945 to version 946.,Database 'model_replicatedmaster' running the upgrade step from version 945 to version 946.,INFO,carga1
2026-09-04 04:50:55.130,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 946 to version 947.,Database 'model_replicatedmaster' running the upgrade step from version 946 to version 947.,INFO,carga1
