event_name,timestamp,session_id,login_name,program_name,database_name,_linea,command,duration,cpu_time,logical_reads,writes,wait_type,resource_type,mode,status,process_type,run_name
lock_acquired,2026-09-04 05:07:58.943,68,,,,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-04 05:07:58.943"", ""session_id"": 68, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",,,,,,,OBJECT,IX,,UNKNOWN,carga1
lock_acquired,2026-09-04 05:07:58.943,68,,,,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-04 05:07:58.943"", ""session_id"": 68, ""resource_type"": ""RID"", ""mode"": ""X""}",,,,,,,RID,X,,UNKNOWN,carga1
lock_acquired,2026-09-04 05:07:58.943,68,,,,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-04 05:07:58.943"", ""session_id"": 68, ""resource_type"": ""KEY"", ""mode"": ""X""}",,,,,,,KEY,X,,UNKNOWN,carga1
wait_info,2026-09-04 05:08:03.973,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:08:03.973"", ""session_id"": 58, ""wait_type"": ""BROKER_TO_FLUSH"", ""database_name"": ""master""}",,,,,,BROKER_TO_FLUSH,,,,UNKNOWN,carga1
lock_released,2026-09-04 05:08:03.973,68,,,,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-04 05:08:03.973"", ""session_id"": 68, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",,,,,,,PAGE,IX,,UNKNOWN,carga1
lock_released,2026-09-04 05:08:03.973,68,,,,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-04 05:08:03.973"", ""session_id"": 68, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",,,,,,,OBJECT,IX,,UNKNOWN,carga1
lock_released,2026-09-04 05:08:03.973,68,,,,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-04 05:08:03.973"", ""session_id"": 68, ""resource_type"": ""RID"", ""mode"": ""X""}",,,,,,,RID,X,,UNKNOWN,carga1
lock_released,2026-09-04 05:08:03.973,68,,,,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-04 05:08:03.973"", ""session_id"": 68, ""resource_type"": ""KEY"", ""mode"": ""X""}",,,,,,,KEY,X,,UNKNOWN,carga1
wait_info,2026-09-04 05:08:09.000,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:08:09.000"", ""session_id"": 58, ""wait_type"": ""SLEEP_TASK"", ""database_name"": ""master""}",,,,,,SLEEP_TASK,,,,UNKNOWN,carga1
wait_info,2026-09-04 05:08:14.022,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:08:14.022"", ""session_id"": 58, ""wait_type"": ""BROKER_TO_FLUSH"", ""database_name"": ""master""}",,,,,,BROKER_TO_FLUSH,,,,UNKNOWN,carga1
wait_info,2026-09-04 05:08:19.053,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:08:19.053"", ""session_id"": 58, ""wait_type"": ""SLEEP_TASK"", ""database_name"": ""master""}",,,,,,SLEEP_TASK,,,,UNKNOWN,carga1
sql_batch_completed,2026-09-04 05:08:24.076,68,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:08:24.076"", ""database_name"": ""SteelNort"", ""session_id"": 68, ""command"": ""EXECUTE"", ""duration"": 6, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0}",EXECUTE,6.0,0.0,0.0,0.0,,,,,USER,carga1
sql_batch_completed,2026-09-04 05:08:29.105,52,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:08:29.105"", ""database_name"": ""SteelNort"", ""session_id"": 52, ""command"": ""AWAITING COMMAND"", ""duration"": 6, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0}",AWAITING COMMAND,6.0,0.0,0.0,0.0,,,,,UNKNOWN,carga1
wait_info,2026-09-04 05:08:29.105,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:08:29.105"", ""session_id"": 58, ""wait_type"": ""BROKER_TO_FLUSH"", ""database_name"": ""master""}",,,,,,BROKER_TO_FLUSH,,,,UNKNOWN,carga1
