timestamp                 metric                    value
2026-09-04 05:46:26       active_requests           22
2026-09-04 05:46:26       long_queries              21
2026-09-04 05:46:26       long_transactions         21
2026-09-04 05:46:26       idle_sessions             34
2026-09-04 05:46:26       lock_waits                0
2026-09-04 05:46:26       total_locks               13
2026-09-04 05:46:26       deadlocks_per_sec         0
2026-09-04 05:46:26       page_life_expectancy      432
2026-09-04 05:46:26       buffer_cache_hit_ratio    100.0
2026-09-04 05:46:26       transactions_per_sec      142.22
2026-09-04 05:46:26       page_reads_per_sec        0.0
2026-09-04 05:46:26       page_writes_per_sec       0.0
2026-09-04 05:46:26       rollbacks_per_sec         0.0
2026-09-04 05:46:26       batch_requests_per_sec    0.0
2026-09-04 05:46:26       sql_compilations_per_sec  0.0
2026-09-04 05:46:26       database_size_mb          0
2026-09-04 05:46:26       total_reads               708
2026-09-04 05:46:26       total_writes              553
2026-09-04 05:46:26       venta_locks               0
2026-09-04 05:46:26       detalle_venta_locks       0
2026-09-04 05:46:26       inventario_locks          0
2026-09-04 05:46:26       kardex_locks              0
2026-09-04 05:46:26       caja_locks                0
2026-09-04 05:46:26       movimiento_caja_locks     0
2026-09-04 05:46:26       auditoria_locks           0
2026-09-04 05:46:26       api_status                0
2026-09-04 05:46:26       api_latency_ms            5009
2026-09-04 05:46:26       products_count            0
2026-09-04 05:46:26       sales_count               0
2026-09-04 05:46:41       cpu_usr                   45.7
2026-09-04 05:46:41       cpu_sys                   17.2
2026-09-04 05:46:41       cpu_idl                   29.0
2026-09-04 05:46:41       cpu_wai                   0.2
2026-09-04 05:46:41       cpu_stl                   0.0
2026-09-04 05:46:41       memory_percent            55.1
2026-09-04 05:46:41       memory_used_mb            2159
2026-09-04 05:46:41       memory_available_mb       1757
2026-09-04 05:46:41       disk_read_per_sec         355484
2026-09-04 05:46:41       disk_write_per_sec        5835114
2026-09-04 05:46:41       net_send_per_sec          5716
2026-09-04 05:46:41       net_recv_per_sec          38283
2026-09-04 05:46:41       load1                     9.48
2026-09-04 05:46:41       load5                     6.97
2026-09-04 05:46:41       load15                    4.32
2026-09-04 05:46:41       active_sessions           35
2026-09-04 05:46:41       active_requests           22
2026-09-04 05:46:41       long_queries              21
2026-09-04 05:46:41       long_transactions         21
2026-09-04 05:46:41       idle_sessions             34
2026-09-04 05:46:41       lock_waits                0
2026-09-04 05:46:41       total_locks               13
2026-09-04 05:46:41       deadlocks_per_sec         0
2026-09-04 05:46:41       page_life_expectancy      447
2026-09-04 05:46:41       buffer_cache_hit_ratio    100.0
2026-09-04 05:46:41       transactions_per_sec      154.33
2026-09-04 05:46:41       page_reads_per_sec        0.0
2026-09-04 05:46:41       page_writes_per_sec       0.0
2026-09-04 05:46:41       rollbacks_per_sec         0.0
2026-09-04 05:46:41       batch_requests_per_sec    0.0
2026-09-04 05:46:41       sql_compilations_per_sec  0.0
2026-09-04 05:46:41       database_size_mb          0
2026-09-04 05:46:41       total_reads               708
2026-09-04 05:46:41       total_writes              556
2026-09-04 05:46:41       venta_locks               0
